Id;GroupCode;AccountingCode;Major;Grouping
612;"7031 ";"3127 ";B;"2.3.2    "
613;"7031 ";"3130 ";B;"2.3.2    "
614;"7031 ";"3155 ";B;"2.3.2    "
615;"7031 ";"3132 ";B;"2.3.2    "
616;"7031 ";"3129 ";B;"2.3.2    "
617;"7031 ";"3131 ";B;"2.3.2    "
618;"7031 ";"3128 ";B;"2.3.2    "
619;"7031 ";"3144 ";B;"2.3.2    "
620;"7031 ";"3150 ";B;"2.3.2    "
621;"7031 ";"3050 ";B;"2.3.2    "
622;"7031 ";"3052 ";B;"2.3.2    "
623;"7031 ";"3054 ";B;"2.3.2    "
624;"7031 ";"3013 ";B;"2.3.2    "
625;"7031 ";"5002 ";B;"2.3.2    "
626;"7032 ";"3022 ";B;"2.3.2    "
627;"7032 ";"3023 ";B;"2.3.2    "
628;"7032 ";"3146 ";B;"2.3.2    "
629;"7032 ";"3133 ";B;"2.3.2    "
630;"7032 ";"3136 ";B;"2.3.2    "
631;"7032 ";"3137 ";B;"2.3.2    "
632;"7032 ";"3138 ";B;"2.3.2    "
633;"7032 ";"3152 ";B;"2.3.2    "
634;"7032 ";"3134 ";B;"2.3.2    "
635;"7032 ";"3135 ";B;"2.3.2    "
636;"7032 ";"3014 ";B;"2.3.2    "
637;"7032 ";"3015 ";B;"2.3.2    "
638;"7032 ";"3036 ";B;"2.3.2    "
639;"7032 ";"3041 ";B;"2.3.2    "
640;"7032 ";"3043 ";B;"2.3.2    "
641;"7032 ";"3047 ";B;"2.3.2    "
642;"7032 ";"3048 ";B;"2.3.2    "
643;"7032 ";"3050 ";B;"2.3.2    "
644;"7032 ";"3054 ";B;"2.3.2    "
645;"7032 ";"3060 ";B;"2.3.2    "
646;"7032 ";"3062 ";B;"2.3.2    "
647;"7032 ";"3063 ";B;"2.3.2    "
648;"7032 ";"3069 ";B;"2.3.2    "
649;"7032 ";"3070 ";B;"2.3.2    "
650;"7032 ";"3072 ";B;"2.3.2    "
651;"7032 ";"3075 ";B;"2.3.2    "
652;"7032 ";"3080 ";B;"2.3.2    "
