id;prsnumber;productcode;user_id;created_by;created_date;updated_by;updated_date;is_active
336;203608;63886;USER0008;NULL;NULL;NULL;NULL;Y
337;203608;60190;USER0008;NULL;NULL;NULL;NULL;Y
338;203608;64152;USER0008;NULL;NULL;NULL;NULL;Y
339;203608;61008;USER0008;NULL;NULL;NULL;NULL;Y
340;203608;51222;USER0008;NULL;NULL;NULL;NULL;Y
341;203609;64506;USER0007;NULL;NULL;NULL;NULL;Y
342;203610;01449;USER0009;NULL;NULL;NULL;NULL;Y
343;203611;62193;USER0007;NULL;NULL;NULL;NULL;Y
344;203612;63887;USER0009;NULL;NULL;NULL;NULL;Y
345;203614;63190;USER0009;NULL;NULL;NULL;NULL;Y
346;203615;60001;USER0009;NULL;NULL;NULL;NULL;Y
347;203616;52428;USER0008;NULL;NULL;NULL;NULL;Y
348;203626;01145;USER0008;NULL;NULL;NULL;NULL;Y
349;203627;65007;USER0007;NULL;NULL;NULL;NULL;Y
350;203627;50014;USER0007;NULL;NULL;NULL;NULL;Y
351;203627;64271;USER0007;NULL;NULL;NULL;NULL;Y
352;100052;99938;USER0009;NULL;NULL;NULL;NULL;Y
353;100053;99938;USER0009;NULL;NULL;NULL;NULL;Y
354;203630;01777;USER0007;NULL;NULL;NULL;NULL;Y
355;203631;01000;USER0007;NULL;NULL;NULL;NULL;Y
356;203632;00963;USER0007;NULL;NULL;NULL;NULL;Y
357;203634;63907;USER0007;NULL;NULL;NULL;NULL;Y
358;203634;63908;USER0007;NULL;NULL;NULL;NULL;Y
359;203634;64163;USER0007;NULL;NULL;NULL;NULL;Y
360;203634;63909;USER0007;NULL;NULL;NULL;NULL;Y
361;203634;61846;USER0007;NULL;NULL;NULL;NULL;Y
362;203634;60362;USER0007;NULL;NULL;NULL;NULL;Y
363;203634;64182;USER0007;NULL;NULL;NULL;NULL;Y
364;203635;64184;USER0007;NULL;NULL;NULL;NULL;Y
365;203635;63912;USER0007;NULL;NULL;NULL;NULL;Y
366;203636;63913;USER0007;NULL;NULL;NULL;NULL;Y
367;203640;60064;USER0008;NULL;NULL;NULL;NULL;Y
368;203641;63922;USER0009;NULL;NULL;NULL;NULL;Y
369;203643;63153;USER0007;NULL;NULL;NULL;NULL;Y
370;203645;63395;USER0008;NULL;NULL;NULL;NULL;Y
371;203647;01778;USER0008;NULL;NULL;NULL;NULL;Y
372;203648;69705;USER0008;NULL;NULL;NULL;NULL;Y
373;203648;63051;USER0008;NULL;NULL;NULL;NULL;Y
374;203649;61107;USER0007;NULL;NULL;NULL;NULL;Y
375;203651;60836;USER0007;NULL;NULL;NULL;NULL;Y
376;203652;61421;USER0008;NULL;NULL;NULL;NULL;Y
377;203653;60376;USER0007;NULL;NULL;NULL;NULL;Y
378;203654;63518;USER0007;NULL;NULL;NULL;NULL;Y
379;203654;60917;USER0007;NULL;NULL;NULL;NULL;Y
380;203654;61654;USER0007;NULL;NULL;NULL;NULL;Y
381;203654;60634;USER0007;NULL;NULL;NULL;NULL;Y
382;203656;63572;USER0009;NULL;NULL;NULL;NULL;Y
383;203659;60959;USER0007;NULL;NULL;NULL;NULL;Y
384;203661;50125;USER0009;NULL;NULL;NULL;NULL;Y
385;203662;01779;USER0007;NULL;NULL;NULL;NULL;Y
386;203664;80001;USER0007;NULL;NULL;NULL;NULL;Y
387;203665;61975;USER0007;NULL;NULL;NULL;NULL;Y
388;203666;61802;USER0007;NULL;NULL;NULL;NULL;Y
389;203668;01780;USER0008;NULL;NULL;NULL;NULL;Y
390;203669;64199;USER0008;NULL;NULL;NULL;NULL;Y
391;203669;60029;USER0008;NULL;NULL;NULL;NULL;Y
392;203669;60733;USER0008;NULL;NULL;NULL;NULL;Y
393;203669;60213;USER0008;NULL;NULL;NULL;NULL;Y
394;203669;65024;USER0008;NULL;NULL;NULL;NULL;Y
